Dates,Dam,Daily_Count_Current_Year,Daily_Count_Last_Year,Ten_Year_Average_Daily_Count
4-Nov,BON,36,6,64
5-Nov,BON,34,8,63
6-Nov,BON,37,12,68
7-Nov,BON,37,11,51
8-Nov,BON,34,9,44
9-Nov,BON,22,7,37
10-Nov,BON,18,9,35
11-Nov,BON,9,8,36
12-Nov,BON,22,19,26
13-Nov,BON,24,10,27
14-Nov,BON,6,11,25
15-Nov,BON,29,13,24
16-Nov,BON,49,14,24
17-Nov,BON,41,9,21
18-Nov,BON,48,11,27
19-Nov,BON,30,6,23
20-Nov,BON,19,16,24
21-Nov,BON,18,1,20
22-Nov,BON,24,5,23
23-Nov,BON,14,1,23
24-Nov,BON,25,2,23
25-Nov,BON,21,8,21
26-Nov,BON,28,10,27
27-Nov,BON,24,4,21
28-Nov,BON,32,3,20
29-Nov,BON,null,3,21
30-Nov,BON,null,11,22
1-Dec,BON,null,8,16
2-Dec,BON,null,11,21
3-Dec,BON,null,8,16
4-Dec,BON,null,11,16
5-Dec,BON,null,6,15
6-Dec,BON,null,12,17
7-Dec,BON,null,10,20
8-Dec,BON,null,0,21
9-Dec,BON,null,-1,17
10-Dec,BON,null,3,11
11-Dec,BON,null,8,17
12-Dec,BON,null,5,21
13-Dec,BON,null,3,26
14-Dec,BON,null,5,17
15-Dec,BON,null,9,17
16-Dec,BON,null,6,14
17-Dec,BON,null,6,18
18-Dec,BON,null,4,11
19-Dec,BON,null,3,11
20-Dec,BON,null,16,14
21-Dec,BON,null,30,14
22-Dec,BON,null,16,16
23-Dec,BON,null,15,11
24-Dec,BON,null,3,13
25-Dec,BON,null,3,13
26-Dec,BON,null,2,14
27-Dec,BON,null,2,14
28-Dec,BON,null,8,13
29-Dec,BON,null,7,22
30-Dec,BON,null,1,17
31-Dec,BON,null,8,14
